hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
איים,Island,i iyim,Places,,Island,Places,yym,96c6e8bb59e6de67642fc763279ee65f,
עם מי,,,Questions,,,Questions,`m my,9b795be7bf4dbcd1006c39a994224cb0,
מתגלח,Shaves (Oneself),mit'galeakh,Verbs: Present Reflexive - Hitpa'el,,Shaves (Oneself),Verbs:-Present-Reflexive---Hitpa'el,mtglkh,fa0b4dd8bdf77d1db30f6549913da744,
מתנתק,Disconnects (Oneself),mit'natek,Verbs: Present Reflexive - Hitpa'el,,Disconnects (Oneself),Verbs:-Present-Reflexive---Hitpa'el,mtntq,cfaa750a5d0de14b3ffdcbc24ad19f20,
מתאחדות,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtkhdvt,89094afd6e67e334434f68c5402816ed,
מתראָה,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtrah,df01a476e2b61c8f8190b3e1a7506c49,
מתקרבים,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtqrbym,18aaa6e3122c02ec5c46550b29b37646,
ערוצים,Channel,arutz arutzim,Technology and Communication,,Channel,Tech-and-Comm,`rvtsym,b4a485b4c1773b634bd2fdc15ff518e0,
מידע,Information,meida,Technology and Communication,,Information,Tech-and-Comm,myd`,070d6c42ff752e277de173d563dd243e,
ההורדה,,,Technology and Communication,,,Tech-and-Comm,hhvrdh,0cb1b4ab8b25c1cef1ab377a5b687514,
הורדה,Download,horadah hav'rudot,Technology and Communication,,Download,Tech-and-Comm,hvrdh,bb8c7630a4b9a945428cb3813947e060,
המידע,,,Technology and Communication,,,Tech-and-Comm,hmyd`,fda1f3e90db2c342ae4cd8cef7d3c9dd,
הייתָ,You Were (2.m.s) Qal),hayita,The Conditional,,You Were (2.m.s) Qal),Verbs:-Conditional,hyyta,5002a9bae87fb59c9892416bc98f1851,
הייתן,You Were (2.f.p) (Qal),heyiten,The Conditional,,You Were (2.f.p) (Qal),Verbs:-Conditional,hyytn,1bfc4f9adb36681d35dd28fd32d42e93,64d8f9adc7d78e46712cea0873b27edc
אִילו,Which? (Pl.),eilu,The Conditional,,Which? (Pl.),Verbs:-Conditional,iylv,b3e659f65b3732e8386d0cf7bd2d055b,
הייתְ,You Were (2.m.s) Qal),hayita,The Conditional,,You Were (2.m.s) Qal),Verbs:-Conditional,hyyt@,82df4bb3c50b982b814a51845f0b7c69,d1a05e125960f2de3a835b8baf844dc3
בעיר הבירה,,,Places,,,Places,b`yr hbyrh,7233379e65ad6ee5eba914c5079a864c,
ארמון,Palace,ar'mon ar'monot,Places,,Palace,Places,rmvn,4fa138e7af8b91674b6a329b6e0e8603,
בעמק,,,Places,,,Places,b`mq,b10db86a38d89c437d0151257b5ad426,
ארמונות,Palace,ar'mon ar'monot,Places,,Palace,Places,rmvnvt,b15ea4d796305e34d6059ceaf42fb0d3,
גבול,"Border, Limit",g'vul g'vulot,Places,,"Border, Limit",Places,gbvl,543c9fbe9fa821b0d670aeb9ff015202,
הקניון,,,Places,,,Places,hqnyvn,0bbbb3827a3fac211a0eb0d8c5af8c6d,
בקניון,,,Places,,,Places,bqnyvn,7a37b9c46ca436f4630d4fe523027ef1,
הגבולות,,,Places,,,Places,hgbvlvt,d7d4f716029a874a78ad0878f4e9d71f,
לשכונה,,,Places,,,Places,lshkvnh,c4f97b785c9fa0b74fa1c657195d1be6,
הכפרים,,,Places,,,Places,hkprym,96255fd6106593dec4af1bdd8da932bd,
העמק,,,Places,,,Places,h`mq,695b16d9bd4df60e968c4aaba6be4fbe,
מחוז,District,makhoz makhozot,Places,,District,Places,mkhvz,510aa1717fca6d92234f8af3e93c7431,
שואב,Vacuum,sho'ev avak sho'vei avak,Home Sweet Home,,Vacuum,Home,shvb,5d83494395f662ba9152b2f651ff94b5,
שוטפת,,,Home Sweet Home,,,Home,shvtpt,0de57d5bd17c67fe57b4b9e7cfe745b5,
צעצועים,Toy,tza'atzu'a tza'atzu'im,Home Sweet Home,,Toy,Home,ts`tsv`ym,075b7b41c74fd3a237ab5405cb15dfc0,
שוטפים,,,Home Sweet Home,,,Home,shvtpym,094b49a56d4a9dc9ba22a5e0557fbd3c,
המזגן,,,Home Sweet Home,,,Home,hmzgn,c7bbcdaa9c32d55d6f8fe78d2ef5966e,
הסמרטוט,,,Home Sweet Home,,,Home,hsmrtvt,686e33b64ae4f4b3da4191e81737ac24,
מזגן,Air-Conditioner,maz'gan maz'ganim,Home Sweet Home,,Air-Conditioner,Home,mzgn,1b6037a4e832766ada5b0dd97ac3008b,
המכשיר,,,Home Sweet Home,,,Home,hmkshyr,ed40e591064483ad67e8c7db8caa6292,
המטאטא,,,Home Sweet Home,,,Home,hmtt,f8c86d481aca11fb6941f29508926bf6,
צעצוע,Toy,tza'atzu'a tza'atzu'im,Home Sweet Home,,Toy,Home,ts`tsv`,5434111a32a695f393174c14d44745f2,
סמרטוט,Rag,s'mar'tut s'mar'tutim,Home Sweet Home,,Rag,Home,smrtvt,2f08e9155a259aa0752274229196e47e,
די,pretty / quite / rather,dai,Adverbs,pretty / quite / rather,Enough,Adverbs,dy,8e62269ec013f3e9da85829483b73d88,
לעתים רחוקות,,,Adverbs,,,Adverbs,l`tym rkhvqvt,3c48a1b018f5b4c16a8baf633bf79cfd,
לא בהכרח,,,Adverbs,,,Adverbs,l bhkrkh,c8b0652685ddeac0e0a71b79a9d0f5a4,
באופן כללי,,,Adverbs,,,Adverbs,bvpn klly,694401c9cdc31fd89c8ef77dbb9b20f3,
כלימון,,,Adverbs,,,Adverbs,klymvn,996dc0738ea507c57303233353dd8c94,
בכל אופן,,,Adverbs,,,Adverbs,bkl vpn,30c8c84ff3c4f07741c98c2e2e3ad2d5,
פעם בשלוש שעות,,,Adverbs,,,Adverbs,p`m bshlvsh sh`vt,f8c0e8228a781e6f59ad71cfa5991aab,
כמעט,"Almost, Nearly",kim'at,Adverbs,,"Almost, Nearly",Adverbs,km`t,f5bd94df4fbd59cc4a0f0afe78b8ec3a,
כציפור,,,Adverbs,,,Adverbs,ktsypvr,63938e513fa3c0eb65976edcc4a6f832,
איתה,with her,itah,Prepositions 1,with her,With Her,Prepositions-1,yth,230e72f3f1d00f497bebd122d2565484,
ישלמו,They (m.p),y'shal'mu,Verbs: Future Active 1,,They (m.p),Verbs:-Future-Active,yshlmv,eead2c86e19186e38970dbbf5c9a7eb5,
יקשיב,He/It,yak'shiv,Verbs: Future Active 1,,He/It,Verbs:-Future-Active,yqshyb,2da09b5bfa3ecfbc9a6a1f26c856b22c,
אתקלח,I Will Take A Shower (Hitpael),et'kaleakh,Verbs: Future Active 1,,I Will Take A Shower (Hitpael),Verbs:-Future-Active,tqlkh,00cf4e05de65c7e309ba6608789d8eb6,
שנתקלח,,,Verbs: Future Active 1,,,Verbs:-Future-Active,shntqlkh,d638ef95119809a86e8427947a8c2df9,
יתגעגעו,They (m.p),yitga'ag'u,Verbs: Future Active 1,,They (m.p),Verbs:-Future-Active,ytg`g`v,3d16e83d7e031ec55bebe9fe144fe936,
יכתבו,They (m.p),yikh't'vu,Verbs: Future Active 1,,They (m.p),Verbs:-Future-Active,yktbv,887945383537b445e2e7905e7c023747,
תתכונן,You (m.s),tit'konen,Verbs: Future Active 1,,You (m.s),Verbs:-Future-Active,ttkvnn,d9792c69083fb7c7e02c178fedee40b5,
תהיי,You Will Be (2.f.s) (Qal),tih'yi,Verbs: Future Active 1,,You Will Be (2.f.s) (Qal),Verbs:-Future-Active,thyy,579c7ef70f1cd9b9d694fc2089b3017f,
יהיו לנו,,,Verbs: Future Active 1,,,Verbs:-Future-Active,yhyv lnv,f914473af1244f16f95c7445c49f33be,
ישלם,He/It,y'shalem,Verbs: Future Active 1,,He/It,Verbs:-Future-Active,yshlm,d21d436db4bf8f8cd377a9fdf71ad36a,
ונתכונן,,,Verbs: Future Active 1,,,Verbs:-Future-Active,vntkvnn,692ee32338ff98116be24dc036e7a9ca,
תקשיב,(she) will listen / (you) will listen,tak'shiv,Verbs: Future Active 1,(she) will listen / (you) will listen,You (m.s),Verbs:-Future-Active,tqshyb,2a2bf0b4dbefc43e55fb134a2f8c5842,
לעצמךָ,,,Pronouns: Reflexive,,,Pronouns-reflexive,l`tsmka,b51880f1f57dbe988b2bf616bf4a575d,
בעצמךָ,by yourself,,Pronouns: Reflexive,by yourself,,Pronouns-reflexive,b`tsmka,77abfc8a2a61ef3405f215f0771fa18f,
הזיתים,Mount of Olives,har hazeitim,Food 1,,Mount of Olives,Food-1,hzytym,f21092f97681e1cf8c7107175c474d91,
אננס,Pineapple,ananas ananasim,Food 1,,Pineapple,Food-1,nns,c2691b89bf019cb963cf5a574542638f,
זיתים,Olive,zayit zeitim,Food 1,,Olive,Food-1,zytym,0e3675bc5ea27bc948976736078770ec,
אַל תדבר,,,Negative Imperatives,,,Negative-Imperatives,al tdbr,89c70114e410efba6646bcfa351b17af,
אַל תדברי,,,Negative Imperatives,,,Negative-Imperatives,al tdbry,e241705beb575b54ec9f4084d575d0ca,
אַל תיגעו,,,Negative Imperatives,,,Negative-Imperatives,al tyg`v,f93b70b13b9c165bc2f3499068eb5643,
אַל תשני,,,Negative Imperatives,,,Negative-Imperatives,al tshny,194c77614a0e15251c397813ff49868b,
אַל תשנה,,,Negative Imperatives,,,Negative-Imperatives,al tshnh,60d69510b2043340c733edf95050b3f7,
אַל תיגעי,,,Negative Imperatives,,,Negative-Imperatives,al tyg`y,3c2e79e8f2cc4b66f980d9fd62739f46,
אַל תשנו,,,Negative Imperatives,,,Negative-Imperatives,al tshnv,3fdbd5a0a33dafb8f37a3dcd89b0f1c3,
אַל תשכחו,,,Negative Imperatives,,,Negative-Imperatives,al tshkkhv,8187c7d6eaf0f4464095ef5b5e9d8b6c,
המועמד,,,Politics,,,Politics,hmv`md,6adb7a5a446dae33038ba34142f0b10d,
הפרלמנט,,,Politics,,,Politics,hprlmnt,2321a0a2e9bc589c89342a4d07f3e535,
המועמדת,the candidate,,Politics,the candidate,,Politics,hmv`mdt,5a729b88c9d60f93ba71ddf0e1cadf2d,
שהמדיניות,,,Politics,,,Politics,shhmdynyvt,6b50edd307df0ae4a4c7fced5de3a70b,
כלכלה,Economy,kal'kalah kal'kalot,Politics,,Economy,Politics,klklh,335510725b98e560a62d090600c2ae4b,
המועמדים,,,Politics,,,Politics,hmv`mdym,3448196e4fb32ec4be79b6608d63d2d5,
החוק,the law,,Politics,the law,,Politics,hkhvq,9d9fd9538951efbab14e504e256d940d,
למפלגה,,,Politics,,,Politics,lmplgh,7f6fc154a1137a3e9aabe67ddb409256,
הנאום,,,Politics,,,Politics,hnvm,c402252331ec778869e8aa185675b0f8,
העירייה,,,Politics,,,Politics,h`yryyh,c1a501aa2890ff868be4b834f1f74a91,
למפלגות,,,Politics,,,Politics,lmplgvt,0689d6d570a90d816e78a5a4fe4fded9,
נאום,"Speech, Address",n'um n'umim,Politics,,"Speech, Address",Politics,nvm,f81356046ced05f1028d0d22c526543c,
מתוקה,,,Construct State 1,,,Construct-state-1,mtvqh,d619640b70be0d86a63b92be4c5f38f4,
בתי קפה,,,Construct State 1,,,Construct-state-1,bty qph,a98201d5e286b02a5c084dcec87c9c5c,
בחדר השינה,,,Construct State 1,,,Construct-state-1,bkhdr hshynh,4d43fd2ea12c31039322aaeb6057337d,
עוגת הגבינה,,,Construct State 1,,,Construct-state-1,`vgt hgbynh,6cc30ab235e62e18e51a722838d8b1ca,
עוגת השוקולד,,,Construct State 1,,,Construct-state-1,`vgt hshvqvld,d82e4b95bb6bc2feede651289344a113,
עוגת שוקולד,,,Construct State 1,,,Construct-state-1,`vgt shvqvld,d427db3f468f30e6c38dcddc33a70a62,
מכונת הכביסה,,,Construct State 1,,,Construct-state-1,mkvnt hkbysh,c714183f39b63e61006a75614c773ee0,
חדר השינה,,,Construct State 1,,,Construct-state-1,khdr hshynh,76dccb4ece91fcfcd807e001520234ab,
לעגבניות שרי,,,Welcome To Israel,,,Welcome-To-Israel,l`gbnyvt shry,528a25c685012018625fe66dc9f153a8,
העלייה,,,Welcome To Israel,,,Welcome-To-Israel,h`lyyh,0943ec246a9ae75535b15d905e7af344,
עגבניית שרי,,,Welcome To Israel,,,Welcome-To-Israel,`gbnyyt shry,cd3075df46b40c9db6f4c6c97230167d,
עלייה,Aliyah,aliyah,Welcome To Israel,,Aliyah,Welcome-To-Israel,`lyyh,932a37cc9f7e2a455601ee4df9927346,
טבריה,Yverya,t'ver'yah,Welcome To Israel,,Yverya,Welcome-To-Israel,tbryh,ba0075999453e9df8a7663bacd965180,
בים האדום,,,Welcome To Israel,,,Welcome-To-Israel,bym hdvm,015a90a7d6900a0893c6b80ad1ace752,
ובים המלח,,,Welcome To Israel,,,Welcome-To-Israel,vbym hmlkh,b5c4f5568078b2a29889b432391ffd8c,
לים המלח,,,Welcome To Israel,,,Welcome-To-Israel,lym hmlkh,a3e2a89c54d4f2b90e13f995180337cd,
באילת,,,Welcome To Israel,,,Welcome-To-Israel,bylt,9beb801d40d46107edfe9eacba4562fb,
המשרת,,,Legends,,,Legends,hmshrt,d631ce1a60e1d1343bfa689141f10291,
לזומבים,,,Legends,,,Legends,lzvmbym,bd1c12181f8c342413526e6de478c106,
משרתים,Servant,m'sharet m'shar'tim,Legends,,Servant,Legends,mshrtym,82583e6ebc7f211fe802b2112ab327fd,
הקסדה,,,Legends,,,Legends,hqsdh,1a9983bbfa2f3c59d8abe9f0fc222f91,
הגולם,,,Legends,,,Legends,hgvlm,aa1cba633e0b7ac6863d243d21904136,
הגיבור,,,Legends,,,Legends,hgybvr,83173af26e02108eb3c6ca8b9c0dc33e,
השריון,,,Legends,,,Legends,hshryvn,5a3c9fbc0ac81cd8e8f90cfe545e16cf,
קסדה,Helmet,kas'dah k'sadot,Legends,,Helmet,Legends,qsdh,d3c7505f115a7f031f769b7bd9e679dd,
המכשפים,,,Legends,,,Legends,hmkshpym,6a340250c4ce0894f3b833ea7641e6be,
המכשף,,,Legends,,,Legends,hmkshp,c513ee75be6087edd3795ef83ee2107e,
גיבור על,,,Legends,,,Legends,gybvr `l,9542260fb53c570114ac880dba745431,
מכיל,"Contains, Comprises, Includes (Hifil)",mekhil,Verbs: Present - Hiph'il,,"Contains, Comprises, Includes (Hifil)",Verbs:-Present-3,mkyl,0a1d4d5c0c95a8f1c3f6a35df7953081,
הסוסות,,,Plurals,,,Plurals,hsvsvt,becd753aaf14105e95dedfe103ccae07,
היינות,,,Plurals,,,Plurals,hyynvt,0486a63a1c473b2d822aee2cf8d3709a,
ודרכים,,,Plurals,,,Plurals,vdrkym,870d5aad64b6d4dda0643b2a1f6d833e,
סוסות,Horse (Mare),susah susot,Plurals,,Horse (Mare),Plurals,svsvt,80107e39f5b638d4b7b1f4a7eed77e65,
ובירות,,,Plurals,,,Plurals,vbyrvt,d0bf36918c7362ad0cb76c9b5443c4dc,
צבים,"Turtle, Tortoise",tzav tzabim,Plurals,,"Turtle, Tortoise",Plurals,tsbym,a3f2318f007428720357c652aa954730,
הבירות,,,Plurals,,,Plurals,hbyrvt,9836be26dce3e2d393c11fc241d44f31,
יינות,Wine,yayin yeinot,Plurals,,Wine,Plurals,yynvt,ac01dfbef4e57e8b7329f9582c5b143e,
אספרנטו,Esperanto,es'peran'to,Languages,,Esperanto,Languages,sprntv,c8d8825b057f509e06a5559ce54db55d,
נוטֶה,,,Languages,,,Languages,nvteh,e2bdc32b52ec859db8b815b1ac1e3b5f,
ביידיש,,,Languages,,,Languages,byydysh,2f5f659b70ec198247b0a02b0ae259e1,
סינית,Chinese,sinit,Languages,,Chinese,Languages,synyt,4c97fd8df8d7649807e1a5e5f6ee9453,
נוטָה,,,Languages,,,Languages,nvtah,e49711d591ea3a85309401ad6e4289c5,
בשורה,,,Languages,,,Languages,bshvrh,3659f83a549e084599e9bc81591e606f,
הינדי,Hindi,hin'di,Languages,,Hindi,Languages,hyndy,2d24b9f656520ee411414c530ad757f2,
אות,Letter,ot otiyot,Languages,,Letter,Languages,vt,2079cda4625dd1ddf204e8aadd0390b8,
יידיש,Yiddish,yidish,Languages,,Yiddish,Languages,yydysh,a135dda21faa015844d2c03b1e1ba498,
בהינדי,,,Languages,,,Languages,bhyndy,d9470f3648b20bf8a6af6c02696bea74,
יבול,Crop,y'vul y'vulim,Nature,,Crop,Nature,ybvl,58d6197986e33c8fe1ebcbab410ff475,
ביקום,,,Nature,,,Nature,byqvm,dc6e1e6711fcfa8bb026d0950bfc6265,
החוֹם,,,Nature,,,Nature,hkhvom,d0f34451cef1506c3d4cdc0e7a77faf5,
היבולים,,,Nature,,,Nature,hybvlym,a8364192f6bd8a20458c40ef6eb38ba6,
הטבע,,,Nature,,,Nature,htb`,49f7218b74240ec85bf2c36f2197f1a8,
מהטבע,,,Nature,,,Nature,mhtb`,e1d081f34a920d73b821039a0d6040b7,
נגוע,Infected,nagu'a,"Passive: Pa'ul, Pu'al and Huf'al",,Infected,Passive:-Paul-Pual-Hufal,ngv`,bec3393eefc03f98d27dd91c13513a53,
מעורבבים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,m`vrbbym,5ebc8aed1170ad5f3210b15337ebc464,
הנגועים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,hngv`ym,815bde83c0f1290accdbcee1941e2056,
ממולא,"Filled, Stuffed",m'mula,"Passive: Pa'ul, Pu'al and Huf'al",,"Filled, Stuffed",Passive:-Paul-Pual-Hufal,mmvl,83d60e5b52e21dc8a02b6e1b6103a4c9,
מורכבת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mvrkbt,2ac74a8cc54b8aea9700a8d66428f492,
מסודרים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,msvdrym,8b2fb16dc664a0075877e7bba89930ce,
מוחלף,"Replaced, Exchanged",mukh'laf,"Passive: Pa'ul, Pu'al and Huf'al",,"Replaced, Exchanged",Passive:-Paul-Pual-Hufal,mvkhlp,9d1c76d5ff234af27c8e6a7958fc37d9,
חתוכה,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,khtvkh,58cc63b9646bdd7ebda3bf55b4d71638,
מסודרת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,msvdrt,7310cbf94c49fda3f7e37dc6082f4411,
מותאם,"Compatible, Adapted, Suited",mut'am,"Passive: Pa'ul, Pu'al and Huf'al",,"Compatible, Adapted, Suited",Passive:-Paul-Pual-Hufal,mvtm,aaeb492abe4836c22564b1a4f633b471,
מעורבב,Mixed,m'ur'bav,"Passive: Pa'ul, Pu'al and Huf'al",,Mixed,Passive:-Paul-Pual-Hufal,m`vrbb,d726978b2b0501b777be46639bf15960,
ממולאת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mmvlt,35a78a0f6969aa42952180103b3d8672,
נגנים,(Musician) Player,nagan naganim,Music,,(Musician) Player,Music,ngnym,915f310ec5ab948a18f344cb9773314f,
כנר,Violinist,kanar kanarim,Music,,Violinist,Music,knr,f2bf24b8ec372b3c0fdd69903eebb4f5,
הסולם,the (musical) key / the (musical) scale / the ladder,,Music,the (musical) key / the (musical) scale / the ladder,,Music,hsvlm,e601c9bd5652b6c81b1f2f8f2a85e061,
סולם,Scale,sulam sulamot,Music,,Scale,Music,svlm,16200706a20c16cbf6163a01740e2681,
הגיטריסט,,,Music,,,Music,hgytryst,84ab789e93f2a4a7c908c88936f6fcfc,
כלִי הנגינה,,,Music,,,Music,kliy hngynh,90492989198c712b5a534d740d218c1f,
לכוון,To Tune (Instrument) (Piel),l'khaven,Music,,To Tune (Instrument) (Piel),Music,lkvvn,2b73a7c60dc8dda648b9d3e738a5c274,
חצוצרה,Trumpet,khatzotz'rah khatzotz'rot,Music,,Trumpet,Music,khtsvtsrh,7cf13b020f8b4533b668aa3539a20065,
הכנר,,,Music,,,Music,hknr,f77dcafb8ca5737eebd2bc87d1879824,
הסינתיסייזר,,,Music,,,Music,hsyntysyyzr,fdaa6778b47f4529694bd2196bb9d3d8,
מכוונת,,,Music,,,Music,mkvvnt,89d1c9d57e88e7b510af72aa96eb3f33,
בסינתיסייזר,,,Music,,,Music,bsyntysyyzr,c93b997bb03969332de687a58d537e67,
כלֵי הנגינה,,,Music,,,Music,kley hngynh,82c17c9a37cee3989da3f2e5f22f9dd1,
בחצוצרה,,,Music,,,Music,bkhtsvtsrh,4836f773ae2c06eae654083e0bfc9856,
סינתיסייזר,Synthesizer,sin't'sai'zer sin't'sai'zerim,Music,,Synthesizer,Music,syntysyyzr,36410c27a2e816f07ba44cf668fd7a79,
כלִי נגינה,,,Music,,,Music,kliy ngynh,ccd2f127496b007b25f692fc5cf429b4,
ישים,,,Future 2,,,Future-2,yshym,9d97627f2a4efff464d043ca8d222ee5,
תמשיך,,,Future 2,,,Future-2,tmshyk,87db7db5589d48065e24a265b82664be,
ימשיך,He/It Will Continue (3.m.s) (Hifil),yam'shikh,Future 2,,He/It Will Continue (3.m.s) (Hifil),Future-2,ymshyk,d2e36f6bfaf5e8e06c5329f7e1e4ec2f,
תסגור,She/It Will Close (3.f.s) (Qal),tis'gor,Future 2,,She/It Will Close (3.f.s) (Qal),Future-2,tsgvr,f501cd648f799204a29c41293d89910e,
יפתחו,,,Future 2,,,Future-2,yptkhv,b372f9a594d07b598195302bd867ba3c,
ימלא,He/It Will Fill (3.m.s) (Piel),y'male,Future 2,,He/It Will Fill (3.m.s) (Piel),Future-2,yml,1a80fbf3dbbf37b1940e28f2fb1b0ce6,
ישימו,"They Will Put, Put On (3.m.p) (Qal)",yasimu,Future 2,,"They Will Put, Put On (3.m.p) (Qal)",Future-2,yshymv,28c511390ec4ddab931db26793c14890,
יסגור,,,Future 2,,,Future-2,ysgvr,b002f5fef996e25eb13049a53700da93,
מחשב נייד,,,Technology and Communication,,,Tech-and-Comm,mkhshb nyyd,69842aec333480bdad2c60650cd1e0e3,
לוחצת,"I, You, She, It (f.s - pres.)",lokhetzet,Technology and Communication,,"I, You, She, It (f.s - pres.)",Tech-and-Comm,lvkhtst,75d2b5097659db861ea1c77036410b16,
טקסטים,Text,tek's't tek's'tim,Technology and Communication,,Text,Tech-and-Comm,tqstym,224bb8db475fc29abde660e307e28450,
המחשב הנייד,,,Technology and Communication,,,Tech-and-Comm,hmkhshb hnyyd,64db2041d8d5150c91f31911ab5436e3,
המיילים,,,Technology and Communication,,,Tech-and-Comm,hmyylym,889269b73e1ff866d36904f95a5ff9cc,
התקשורת,,,Technology and Communication,,,Tech-and-Comm,htqshvrt,04eb35906ec031d12d6193db2fd1c2d1,
מקלדות,Keyboard,mik'ledet mik'ladot,Technology and Communication,,Keyboard,Tech-and-Comm,mqldvt,faa06baee5fc55630e1a327b5d2830c0,
בולים,Stamp (Postage),bul bulim,Technology and Communication,,Stamp (Postage),Tech-and-Comm,bvlym,19b1f7701b7a88f9e8f67436feae1797,
הרובוט,,,Technology and Communication,,,Tech-and-Comm,hrvbvt,0234572554dac10c510b785a6e553513,
המייל,,,Technology and Communication,,,Tech-and-Comm,hmyyl,ff37d5fc5c113ece5126ee263ff7da0a,
הטקסט,,,Technology and Communication,,,Tech-and-Comm,htqst,3c6a8e8bfe43e9a9606690ad12bf2f58,
למי,who / who for / who to,l'mi,Questions,who / who for / who to,To Who?,Questions,lmy,457ca23c7c476728043c07fb30d94e63,
עונֶה,M.S.,oneh,Questions,,M.S.,Questions,`vneh,32abee0bd48ce50480deee5e9497c7cf,942e9365fce96bf338a004be58fa8241
באיזה,In Which?,b'eizeh,Questions,,In Which?,Questions,byzh,359f3cda8b8c626bfa64daa118b772c8,
בבר,,,Places,,,Places,bbr,3b6674c539d19594e382307e673d4f3b,
בעיירה,,,Places,,,Places,b`yyrh,c8de4a2cb73636783e6e749ea64e057b,
המערב,,,Places,,,Places,hm`rb,79ea0a4cf0e245d650ff45a1a4f46717,
כיכרות,"Square, Roundabout",kikar kikarot,Places,,"Square, Roundabout",Places,kykrvt,5a70413ec91ab941b29baec9e6b24684,
לאורך,along,l'orekh,Places,along,Along,Places,lvrk,1db612385ad4b6153903ba2c548d4cc1,
בשדרה,,,Places,,,Places,bshdrh,07b4699a1ad91c472fd408d2b85c1912,
אחורה,"Backward, In Reverse",akhorah,Places,,"Backward, In Reverse",Places,khvrh,3b1b9663d615cbe121a06eb215fbefe1,
הקרקע,the ground,,Places,the ground,,Places,hqrq`,68832d002c10cebc7518339ac0601489,b3fd55575d8c259dcb061abbc4e3a2a7
שומעים,M.P.,shom'im,Determiners,,M.P.,Determiners,shvm`ym,201be12eb9cb7899e1307850895c90cd,
אלו,these / these are / those,elu,Determiners,these / these are / those,These,Determiners,lv,035cdb4aa82b95da1d6520d101a59a9e,
אומרים,M.P.,om'rim,Determiners,,M.P.,Determiners,vmrym,484d8c408ce5acfc936d6a762d988f81,b36b35420b45270ecc36cb59b77efc6b
ממי,From Who?,mimi,Questions,,From Who?,Questions,mmy,835b1ad97bdaaa8e29123c5121637517,
מתגברת,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtgbrt,b34fa635ffe37e83290faff77a0d64cb,
מתגברות,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtgbrvt,e24ab78d3237f0c1c4b218a0afdcf571,
מתחממים,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtkhmmym,fd6dce65f753ceda4049f129f617d6b5,
מתקרר,Cools Off (Passive),mit'karer,Verbs: Present Reflexive - Hitpa'el,,Cools Off (Passive),Verbs:-Present-Reflexive---Hitpa'el,mtqrr,47dca21f6dec25181b2c096e3bddc896,
מתחנכים,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtkhnkym,6dd4c4d880642f3e95bb8a2524ee6d83,
מתייעצת,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtyy`tst,a80a4fe06827540c8f28d48e0eb8c404,
מתייעצים,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtyy`tsym,1751d18bf7a0df137560bfbfb7deed54,
מתחבאים,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,mtkhbym,8f2ed8b68efeb70b4b26661afc0ea217,
מתחמם,Heats Up (Passive),mit'khamem,Verbs: Present Reflexive - Hitpa'el,,Heats Up (Passive),Verbs:-Present-Reflexive---Hitpa'el,mtkhmm,adc99d97d5a3e7aa6457606a69856f15,
אחד עם השני,,,Verbs: Present Reflexive - Hitpa'el,,,Verbs:-Present-Reflexive---Hitpa'el,khd `m hshny,b5a6c79b9a8f26d11d49a0714f1fdd9f,
מתחנך,Educates (Oneself),mit'khanekh,Verbs: Present Reflexive - Hitpa'el,,Educates (Oneself),Verbs:-Present-Reflexive---Hitpa'el,mtkhnk,9a46566f7703b3e21eaf935a1765758a,
בזבז,"Spent, Squandered (3.m.s) (Piel)",baz'bez,Verbs: Past Active 1,,"Spent, Squandered (3.m.s) (Piel)",Verbs:-Past-Active,bzbz,48ed396c7536e6f698f21cc114ae26b4,
הייתם,You Were (2.m.p) (Qal),heyitem,Verbs: Past Active 1,,You Were (2.m.p) (Qal),Verbs:-Past-Active,hyytm,ddbb4c14daf951b2a8ace4e15b691be9,
